Freq.,V(e1)/I(V1)
1.00000000000000e+03,"(1.27591481191705e+02dB,9.01163029654239e+01°)"
1.00152201911367e+03,"(1.27578271148753e+02dB,9.01161265439858e+01°)"
1.00304635476951e+03,"(1.27565061111161e+02dB,9.01159503299630e+01°)"
1.00457301049337e+03,"(1.27551851083780e+02dB,9.01157742304832e+01°)"
1.00610198981641e+03,"(1.27538640993249e+02dB,9.01155984041227e+01°)"
1.00763329627521e+03,"(1.27525430942446e+02dB,9.01154229806491e+01°)"
1.00916693341171e+03,"(1.27512220887376e+02dB,9.01152474681176e+01°)"
1.01070290477324e+03,"(1.27499010838262e+02dB,9.01150726246032e+01°)"
1.01224121391254e+03,"(1.27485800792331e+02dB,9.01148979512717e+01°)"
1.01378186438776e+03,"(1.27472590740151e+02dB,9.01147234016084e+01°)"
1.01532485976244e+03,"(1.27459380629891e+02dB,9.01145488936906e+01°)"
1.01687020360558e+03,"(1.27446170617410e+02dB,9.01143749578150e+01°)"
1.01841789949159e+03,"(1.27432960550279e+02dB,9.01142013395606e+01°)"
1.01996795100031e+03,"(1.27419750516917e+02dB,9.01140281111567e+01°)"
1.02152036171706e+03,"(1.27406540455535e+02dB,9.01138547873322e+01°)"
1.02307513523259e+03,"(1.27393330343934e+02dB,9.01136819735203e+01°)"
1.02463227514313e+03,"(1.27380120299709e+02dB,9.01135093279580e+01°)"
1.02619178505038e+03,"(1.27366910264722e+02dB,9.01133369135860e+01°)"
1.02775366856151e+03,"(1.27353700217608e+02dB,9.01131647806698e+01°)"
1.02931792928921e+03,"(1.27340490128788e+02dB,9.01129929495092e+01°)"
1.03088457085162e+03,"(1.27327280083775e+02dB,9.01128213640166e+01°)"
1.03245359687244e+03,"(1.27314069996874e+02dB,9.01126499256720e+01°)"
1.03402501098086e+03,"(1.27300859920067e+02dB,9.01124789629794e+01°)"
1.03559881681158e+03,"(1.27287649879964e+02dB,9.01123080997691e+01°)"
1.03717501800485e+03,"(1.27274439815520e+02dB,9.01121376445849e+01°)"
1.03875361820647e+03,"(1.27261229758658e+02dB,9.01119675053957e+01°)"
1.04033462106777e+03,"(1.27248019688478e+02dB,9.01117973697608e+01°)"
1.04191803024565e+03,"(1.27234809598360e+02dB,9.01116274774830e+01°)"
1.04350384940256e+03,"(1.27221599561109e+02dB,9.01114581095948e+01°)"
1.04509208220653e+03,"(1.27208389493316e+02dB,9.01112887950269e+01°)"
1.04668273233119e+03,"(1.27195179438517e+02dB,9.01111200041984e+01°)"
1.04827580345574e+03,"(1.27181969348837e+02dB,9.01109511507494e+01°)"
1.04987129926499e+03,"(1.27168759280592e+02dB,9.01107826437796e+01°)"
1.05146922344937e+03,"(1.27155549235101e+02dB,9.01106143359107e+01°)"
1.05306957970489e+03,"(1.27142339127820e+02dB,9.01104462912395e+01°)"
1.05467237173322e+03,"(1.27129129090550e+02dB,9.01102786695827e+01°)"
1.05627760324165e+03,"(1.27115919048187e+02dB,9.01101112098713e+01°)"
1.05788527794312e+03,"(1.27102708971609e+02dB,9.01099439570551e+01°)"
1.05949539955622e+03,"(1.27089498890007e+02dB,9.01097771661763e+01°)"
1.06110797180518e+03,"(1.27076288807673e+02dB,9.01096100996104e+01°)"
1.06272299841993e+03,"(1.27063078738066e+02dB,9.01094438766995e+01°)"
1.06434048313606e+03,"(1.27049868682347e+02dB,9.01092777029837e+01°)"
1.06596042969484e+03,"(1.27036658617944e+02dB,9.01091118050609e+01°)"
1.06758284184325e+03,"(1.27023448555814e+02dB,9.01089459818337e+01°)"
