Freq.,V(e1)/I(V1)
1.00000000000000e+03,"(1.27591482044632e+02dB,9.01136463737507e+01°)"
1.00152131519647e+03,"(1.27578278096310e+02dB,9.01134739960197e+01°)"
1.00304494479286e+03,"(1.27565074109086e+02dB,9.01133015931852e+01°)"
1.00457089231011e+03,"(1.27551870162493e+02dB,9.01131298209377e+01°)"
1.00609916127451e+03,"(1.27538666209280e+02dB,9.01129582774721e+01°)"
1.00762975521771e+03,"(1.27525462259523e+02dB,9.01127864041898e+01°)"
1.00916267767673e+03,"(1.27512258295467e+02dB,9.01126154434859e+01°)"
1.01069793219398e+03,"(1.27499054344971e+02dB,9.01124444693223e+01°)"
1.01223552231727e+03,"(1.27485850415426e+02dB,9.01122736461292e+01°)"
1.01377545159977e+03,"(1.27472646428753e+02dB,9.01121034326614e+01°)"
1.01531772360009e+03,"(1.27459442520823e+02dB,9.01119332229921e+01°)"
1.01686234188225e+03,"(1.27446238529527e+02dB,9.01117632984731e+01°)"
1.01840931001567e+03,"(1.27433034589765e+02dB,9.01115934883514e+01°)"
1.01995863157521e+03,"(1.27419830643078e+02dB,9.01114242738270e+01°)"
1.02151031014120e+03,"(1.27406626672125e+02dB,9.01112550899318e+01°)"
1.02306434929936e+03,"(1.27393422694852e+02dB,9.01110863657901e+01°)"
1.02462075264091e+03,"(1.27380218732007e+02dB,9.01109175961952e+01°)"
1.02617952376252e+03,"(1.27367014773729e+02dB,9.01107490188244e+01°)"
1.02774066626632e+03,"(1.27353810859835e+02dB,9.01105812248311e+01°)"
1.02930418375994e+03,"(1.27340606869989e+02dB,9.01104129700669e+01°)"
1.03087007985648e+03,"(1.27327402917030e+02dB,9.01102455559020e+01°)"
1.03243835817454e+03,"(1.27314198948634e+02dB,9.01100784799744e+01°)"
1.03400902233825e+03,"(1.27300994991189e+02dB,9.01099112582820e+01°)"
1.03558207597721e+03,"(1.27287791034318e+02dB,9.01097444884698e+01°)"
1.03715752272658e+03,"(1.27274587072876e+02dB,9.01095780238775e+01°)"
1.03873536622704e+03,"(1.27261383125351e+02dB,9.01094118515305e+01°)"
1.04031561012478e+03,"(1.27248179180084e+02dB,9.01092457103068e+01°)"
1.04189825807159e+03,"(1.27234975174361e+02dB,9.01090797262472e+01°)"
1.04348331372476e+03,"(1.27221771229619e+02dB,9.01089141354961e+01°)"
1.04507078074719e+03,"(1.27208567278720e+02dB,9.01087489211645e+01°)"
1.04666066280732e+03,"(1.27195363282165e+02dB,9.01085836923088e+01°)"
1.04825296357919e+03,"(1.27182159346111e+02dB,9.01084189588038e+01°)"
1.04984768674243e+03,"(1.27168955421539e+02dB,9.01082545649907e+01°)"
1.05144483598224e+03,"(1.27155751390631e+02dB,9.01080901722874e+01°)"
