Freq.,V(e1)/I(V1)
1.00000000000000e+03,"(1.27591482056213e+02dB,9.01136462259565e+01°)"
1.00152131519647e+03,"(1.27578278061910e+02dB,9.01134738904546e+01°)"
1.00304494479286e+03,"(1.27565074116956e+02dB,9.01133018495954e+01°)"
1.00457089231011e+03,"(1.27551870194587e+02dB,9.01131299142708e+01°)"
1.00609916127451e+03,"(1.27538666200023e+02dB,9.01129580056118e+01°)"
1.00762975521771e+03,"(1.27525462266340e+02dB,9.01127865530860e+01°)"
1.00916267767673e+03,"(1.27512258299004e+02dB,9.01126153694279e+01°)"
1.01069793219398e+03,"(1.27499054381435e+02dB,9.01124445879867e+01°)"
1.01223552231727e+03,"(1.27485850415533e+02dB,9.01122736617489e+01°)"
1.01377545159977e+03,"(1.27472646438188e+02dB,9.01121031828891e+01°)"
1.01531772360009e+03,"(1.27459442518453e+02dB,9.01119332548410e+01°)"
1.01686234188225e+03,"(1.27446238537511e+02dB,9.01117632395981e+01°)"
1.01840931001567e+03,"(1.27433034581834e+02dB,9.01115937133382e+01°)"
1.01995863157521e+03,"(1.27419830625880e+02dB,9.01114243488941e+01°)"
1.02151031014120e+03,"(1.27406626654266e+02dB,9.01112550906892e+01°)"
1.02306434929936e+03,"(1.27393422697441e+02dB,9.01110862774052e+01°)"
1.02462075264091e+03,"(1.27380218756809e+02dB,9.01109175524358e+01°)"
1.02617952376252e+03,"(1.27367014804099e+02dB,9.01107491687497e+01°)"
1.02774066626632e+03,"(1.27353810875551e+02dB,9.01105812378675e+01°)"
1.02930418375994e+03,"(1.27340606869782e+02dB,9.01104133857338e+01°)"
1.03087007985648e+03,"(1.27327402926901e+02dB,9.01102456761606e+01°)"
1.03243835817454e+03,"(1.27314198966421e+02dB,9.01100783790959e+01°)"
1.03400902233825e+03,"(1.27300994980079e+02dB,9.01099111841381e+01°)"
1.03558207597721e+03,"(1.27287791024465e+02dB,9.01097443135246e+01°)"
1.03715752272658e+03,"(1.27274587086407e+02dB,9.01095778352173e+01°)"
1.03873536622704e+03,"(1.27261383115507e+02dB,9.01094117509186e+01°)"
1.04031561012478e+03,"(1.27248179173334e+02dB,9.01092457103584e+01°)"
1.04189825807159e+03,"(1.27234975163313e+02dB,9.01090797254063e+01°)"
