Freq.,V(e1)/I(V1)
1.00000000000000e+03,"(1.27591482042416e+02dB,9.01136465269882e+01°)"
1.00152131519647e+03,"(1.27578278060608e+02dB,9.01134739207070e+01°)"
1.00304494479286e+03,"(1.27565074106568e+02dB,9.01133018926987e+01°)"
1.00457089231011e+03,"(1.27551870186814e+02dB,9.01131296261075e+01°)"
1.00609916127451e+03,"(1.27538666206946e+02dB,9.01129579908094e+01°)"
1.00762975521771e+03,"(1.27525462284675e+02dB,9.01127866880042e+01°)"
1.00916267767673e+03,"(1.27512258300042e+02dB,9.01126154892438e+01°)"
1.01069793219398e+03,"(1.27499054368693e+02dB,9.01124444687116e+01°)"
1.01223552231727e+03,"(1.27485850401745e+02dB,9.01122736166441e+01°)"
1.01377545159977e+03,"(1.27472646447212e+02dB,9.01121033752876e+01°)"
1.01531772360009e+03,"(1.27459442468420e+02dB,9.01119332076795e+01°)"
1.01686234188225e+03,"(1.27446238563360e+02dB,9.01117633125561e+01°)"
1.01840931001567e+03,"(1.27433034585382e+02dB,9.01115936541858e+01°)"
1.01995863157521e+03,"(1.27419830630674e+02dB,9.01114244367326e+01°)"
1.02151031014120e+03,"(1.27406626676697e+02dB,9.01112551794755e+01°)"
1.02306434929936e+03,"(1.27393422725550e+02dB,9.01110862605413e+01°)"
1.02462075264091e+03,"(1.27380218762428e+02dB,9.01109176101259e+01°)"
1.02617952376252e+03,"(1.27367014779486e+02dB,9.01107491673963e+01°)"
1.02774066626632e+03,"(1.27353810842996e+02dB,9.01105812821894e+01°)"
1.02930418375994e+03,"(1.27340606856373e+02dB,9.01104132778778e+01°)"
1.03087007985648e+03,"(1.27327402945054e+02dB,9.01102456905651e+01°)"
1.03243835817454e+03,"(1.27314198970043e+02dB,9.01100785696289e+01°)"
1.03400902233825e+03,"(1.27300994994455e+02dB,9.01099112574209e+01°)"
1.03558207597721e+03,"(1.27287791018928e+02dB,9.01097446059822e+01°)"
1.03715752272658e+03,"(1.27274587066245e+02dB,9.01095780959616e+01°)"
1.03873536622704e+03,"(1.27261383127496e+02dB,9.01094117198401e+01°)"
1.04031561012478e+03,"(1.27248179171149e+02dB,9.01092456942218e+01°)"
1.04189825807159e+03,"(1.27234975239619e+02dB,9.01090798147974e+01°)"
1.04348331372476e+03,"(1.27221771216561e+02dB,9.01089142546620e+01°)"
1.04507078074719e+03,"(1.27208567241374e+02dB,9.01087487631139e+01°)"
1.04666066280732e+03,"(1.27195363341643e+02dB,9.01085839834520e+01°)"
1.04825296357919e+03,"(1.27182159317445e+02dB,9.01084190148878e+01°)"
1.04984768674243e+03,"(1.27168955374434e+02dB,9.01082543768283e+01°)"
1.05144483598224e+03,"(1.27155751430489e+02dB,9.01080902771261e+01°)"
1.05304441498947e+03,"(1.27142547433993e+02dB,9.01079259002602e+01°)"
1.05464642746054e+03,"(1.27129343455216e+02dB,9.01077621824202e+01°)"
1.05625087709754e+03,"(1.27116139504419e+02dB,9.01075987380117e+01°)"
1.05785776760815e+03,"(1.27102935568302e+02dB,9.01074352781546e+01°)"
1.05946710270571e+03,"(1.27089731578947e+02dB,9.01072722928554e+01°)"
1.06107888610921e+03,"(1.27076527636387e+02dB,9.01071094789877e+01°)"
1.06269312154330e+03,"(1.27063323649594e+02dB,9.01069468214520e+01°)"
1.06430981273828e+03,"(1.27050119690597e+02dB,9.01067845993990e+01°)"
1.06592896343014e+03,"(1.27036915726331e+02dB,9.01066225546342e+01°)"
1.06755057736056e+03,"(1.27023711774422e+02dB,9.01064607631396e+01°)"
1.06917465827690e+03,"(1.27010507795315e+02dB,9.01062990969155e+01°)"
1.07080120993221e+03,"(1.26997303840316e+02dB,9.01061379268937e+01°)"
1.07243023608527e+03,"(1.26984099882131e+02dB,9.01059766375311e+01°)"
1.07406174050058e+03,"(1.26970895899552e+02dB,9.01058156236446e+01°)"
1.07569572694835e+03,"(1.26957691916979e+02dB,9.01056550578467e+01°)"
1.07733219920452e+03,"(1.26944487926902e+02dB,9.01054946989948e+01°)"
1.07897116105082e+03,"(1.26931283992882e+02dB,9.01053346284218e+01°)"
1.08061261627467e+03,"(1.26918079989743e+02dB,9.01051747754469e+01°)"
1.08225656866930e+03,"(1.26904876018859e+02dB,9.01050150927706e+01°)"
1.08390302203369e+03,"(1.26891672058754e+02dB,9.01048556463644e+01°)"
1.08555198017261e+03,"(1.26878468080266e+02dB,9.01046966192863e+01°)"
1.08720344689660e+03,"(1.26865264123136e+02dB,9.01045375661607e+01°)"
1.08885742602201e+03,"(1.26852060161984e+02dB,9.01043789390791e+01°)"
1.09051392137100e+03,"(1.26838856152725e+02dB,9.01042206029178e+01°)"
1.09217293677154e+03,"(1.26825652206432e+02dB,9.01040624068680e+01°)"
1.09383447605742e+03,"(1.26812448227843e+02dB,9.01039044203476e+01°)"
1.09549854306826e+03,"(1.26799244245997e+02dB,9.01037467766252e+01°)"
1.09716514164954e+03,"(1.26786040267071e+02dB,9.01035893542651e+01°)"
1.09883427565256e+03,"(1.26772836311675e+02dB,9.01034320830535e+01°)"
1.10050594893451e+03,"(1.26759632320680e+02dB,9.01032750972503e+01°)"
1.10218016535843e+03,"(1.26746428359584e+02dB,9.01031184413154e+01°)"
1.10385692879323e+03,"(1.26733224377011e+02dB,9.01029618029517e+01°)"
1.10553624311372e+03,"(1.26720020413764e+02dB,9.01028056666147e+01°)"
1.10721811220062e+03,"(1.26706816408710e+02dB,9.01026497326345e+01°)"
1.10890253994051e+03,"(1.26693612433232e+02dB,9.01024938308147e+01°)"
1.11058953022592e+03,"(1.26680408459560e+02dB,9.01023383221449e+01°)"
