Freq.,V(e1)/I(V1)
1.00000000000000e+03,"(1.27591482043523e+02dB,9.01136463284477e+01°)"
1.00152131519647e+03,"(1.27578278094068e+02dB,9.01134739959973e+01°)"
1.00304494479286e+03,"(1.27565074114817e+02dB,9.01133015785051e+01°)"
1.00457089231011e+03,"(1.27551870167084e+02dB,9.01131298513543e+01°)"
1.00609916127451e+03,"(1.27538666212763e+02dB,9.01129582628074e+01°)"
1.00762975521771e+03,"(1.27525462259514e+02dB,9.01127864344545e+01°)"
1.00916267767673e+03,"(1.27512258296574e+02dB,9.01126154573124e+01°)"
1.01069793219398e+03,"(1.27499054346072e+02dB,9.01124444995096e+01°)"
1.01223552231727e+03,"(1.27485850421012e+02dB,9.01122737210765e+01°)"
1.01377545159977e+03,"(1.27472646433255e+02dB,9.01121034026524e+01°)"
1.01531772360009e+03,"(1.27459442514003e+02dB,9.01119331937447e+01°)"
1.01686234188225e+03,"(1.27446238529461e+02dB,9.01117632984795e+01°)"
1.01840931001567e+03,"(1.27433034586545e+02dB,9.01115934147625e+01°)"
1.01995863157521e+03,"(1.27419830642033e+02dB,9.01114243037129e+01°)"
1.02151031014120e+03,"(1.27406626671026e+02dB,9.01112550899250e+01°)"
1.02306434929936e+03,"(1.27393422700523e+02dB,9.01110863956713e+01°)"
1.02462075264091e+03,"(1.27380218722044e+02dB,9.01109175085156e+01°)"
1.02617952376252e+03,"(1.27367014773745e+02dB,9.01107489611160e+01°)"
1.02774066626632e+03,"(1.27353810856554e+02dB,9.01105812392038e+01°)"
1.02930418375994e+03,"(1.27340606869993e+02dB,9.01104129548390e+01°)"
1.03087007985648e+03,"(1.27327402925979e+02dB,9.01102456151744e+01°)"
1.03243835817454e+03,"(1.27314198949798e+02dB,9.01100784361245e+01°)"
1.03400902233825e+03,"(1.27300994992202e+02dB,9.01099112869419e+01°)"
1.03558207597721e+03,"(1.27287791032094e+02dB,9.01097444590083e+01°)"
1.03715752272658e+03,"(1.27274587079429e+02dB,9.01095780374003e+01°)"
1.03873536622704e+03,"(1.27261383125342e+02dB,9.01094118808898e+01°)"
1.04031561012478e+03,"(1.27248179177867e+02dB,9.01092456943713e+01°)"
1.04189825807159e+03,"(1.27234975179942e+02dB,9.01090797121138e+01°)"
1.04348331372476e+03,"(1.27221771231761e+02dB,9.01089141639103e+01°)"
1.04507078074719e+03,"(1.27208567279856e+02dB,9.01087489220240e+01°)"
1.04666066280732e+03,"(1.27195363287640e+02dB,9.01085837356612e+01°)"
1.04825296357919e+03,"(1.27182159352695e+02dB,9.01084190594397e+01°)"
1.04984768674243e+03,"(1.27168955411735e+02dB,9.01082545366690e+01°)"
1.05144483598224e+03,"(1.27155751392820e+02dB,9.01080902013194e+01°)"
1.05304441498947e+03,"(1.27142547453830e+02dB,9.01079260006629e+01°)"
1.05464642746054e+03,"(1.27129343494592e+02dB,9.01077621557273e+01°)"
1.05625087709754e+03,"(1.27116139514343e+02dB,9.01075987538777e+01°)"
1.05785776760815e+03,"(1.27102935569603e+02dB,9.01074352790660e+01°)"
1.05946710270571e+03,"(1.27089731588783e+02dB,9.01072722930455e+01°)"
1.06107888610921e+03,"(1.27076527613427e+02dB,9.01071096503498e+01°)"
1.06269312154330e+03,"(1.27063323674497e+02dB,9.01069468210051e+01°)"
1.06430981273828e+03,"(1.27050119699320e+02dB,9.01067846454229e+01°)"
1.06592896343014e+03,"(1.27036915708983e+02dB,9.01066225275296e+01°)"
1.06755057736056e+03,"(1.27023711742016e+02dB,9.01064609317088e+01°)"
1.06917465827690e+03,"(1.27010507788563e+02dB,9.01062991237829e+01°)"
1.07080120993221e+03,"(1.26997303842482e+02dB,9.01061378562181e+01°)"
1.07243023608527e+03,"(1.26984099887544e+02dB,9.01059766104632e+01°)"
1.07406174050058e+03,"(1.26970895917606e+02dB,9.01058156478421e+01°)"
1.07569572694835e+03,"(1.26957691906044e+02dB,9.01056550432076e+01°)"
1.07733219920452e+03,"(1.26944487969768e+02dB,9.01054947853004e+01°)"
1.07897116105082e+03,"(1.26931283968440e+02dB,9.01053344586557e+01°)"
1.08061261627467e+03,"(1.26918080017482e+02dB,9.01051747359641e+01°)"
1.08225656866930e+03,"(1.26904876004026e+02dB,9.01050150769615e+01°)"
1.08390302203369e+03,"(1.26891672070778e+02dB,9.01048557446289e+01°)"
1.08555198017261e+03,"(1.26878468069662e+02dB,9.01046966465116e+01°)"
1.08720344689660e+03,"(1.26865264089069e+02dB,9.01045375065191e+01°)"
1.08885742602201e+03,"(1.26852060123772e+02dB,9.01043789246934e+01°)"
1.09051392137100e+03,"(1.26838856184472e+02dB,9.01042207008258e+01°)"
1.09217293677154e+03,"(1.26825652210707e+02dB,9.01040624217534e+01°)"
1.09383447605742e+03,"(1.26812448222874e+02dB,9.01039044478367e+01°)"
1.09549854306826e+03,"(1.26799244240729e+02dB,9.01037468183843e+01°)"
1.09716514164954e+03,"(1.26786040267243e+02dB,9.01035893392530e+01°)"
1.09883427565256e+03,"(1.26772836288524e+02dB,9.01034320955328e+01°)"
1.10050594893451e+03,"(1.26759632305922e+02dB,9.01032750425390e+01°)"
1.10218016535843e+03,"(1.26746428317973e+02dB,9.01031183073512e+01°)"
1.10385692879323e+03,"(1.26733224328947e+02dB,9.01029618687345e+01°)"
1.10553624311372e+03,"(1.26720020400544e+02dB,9.01028054778429e+01°)"
1.10721811220062e+03,"(1.26706816429748e+02dB,9.01026497321718e+01°)"
1.10890253994051e+03,"(1.26693612417436e+02dB,9.01024938416923e+01°)"
1.11058953022592e+03,"(1.26680408455348e+02dB,9.01023382374535e+01°)"
1.11227908695529e+03,"(1.26667204465247e+02dB,9.01021829469163e+01°)"
1.11397121403298e+03,"(1.26654000515709e+02dB,9.01020279795245e+01°)"
1.11566591536932e+03,"(1.26640796509573e+02dB,9.01018730402120e+01°)"
1.11736319488055e+03,"(1.26627592546998e+02dB,9.01017184394238e+01°)"
1.11906305648889e+03,"(1.26614388571606e+02dB,9.01015642149592e+01°)"
1.12076550412253e+03,"(1.26601184602954e+02dB,9.01014099638354e+01°)"
1.12247054171563e+03,"(1.26587980626942e+02dB,9.01012559819784e+01°)"
1.12417817320832e+03,"(1.26574776621307e+02dB,9.01011024417677e+01°)"
