Freq.,V(e1)/I(V1)
1.00000000000000e+03,"(1.27590309704015e+02dB,9.01136366646110e+01°)"
1.00152131519647e+03,"(1.27578213934857e+02dB,9.01134786604389e+01°)"
1.00304494479286e+03,"(1.27561318618378e+02dB,9.01132584310406e+01°)"
1.00457089231011e+03,"(1.27549292495315e+02dB,9.01131020390514e+01°)"
1.00609916127451e+03,"(1.27537297768731e+02dB,9.01129461318530e+01°)"
1.00762975521771e+03,"(1.27525334238631e+02dB,9.01127906483850e+01°)"
1.00916267767673e+03,"(1.27513401884016e+02dB,9.01126361060078e+01°)"
1.01069793219398e+03,"(1.27496705400876e+02dB,9.01124197359313e+01°)"
1.01223552231727e+03,"(1.27484841697033e+02dB,9.01122667162554e+01°)"
1.01377545159977e+03,"(1.27473008916910e+02dB,9.01121139576251e+01°)"
1.01531772360009e+03,"(1.27461206910159e+02dB,9.01119618334567e+01°)"
1.01686234188225e+03,"(1.27449435700310e+02dB,9.01118102760101e+01°)"
1.01840931001567e+03,"(1.27430555851902e+02dB,9.01115677385792e+01°)"
1.01995863157521e+03,"(1.27418855439570e+02dB,9.01114177027276e+01°)"
1.02151031014120e+03,"(1.27407185498324e+02dB,9.01112682869795e+01°)"
1.02306434929936e+03,"(1.27395545966351e+02dB,9.01111195183883e+01°)"
1.02462075264091e+03,"(1.27383936710173e+02dB,9.01109712256033e+01°)"
1.02617952376252e+03,"(1.27367633164522e+02dB,9.01107631470149e+01°)"
1.02774066626632e+03,"(1.27353732429905e+02dB,9.01105864689663e+01°)"
1.02930418375994e+03,"(1.27342222958144e+02dB,9.01104401590840e+01°)"
1.03087007985648e+03,"(1.27330743473511e+02dB,9.01102945831071e+01°)"
1.03243835817454e+03,"(1.27314598108012e+02dB,9.01100898785027e+01°)"
1.03400902233825e+03,"(1.27300840684483e+02dB,9.01099157534282e+01°)"
1.03558207597721e+03,"(1.27289459772195e+02dB,9.01097719563951e+01°)"
1.03715752272658e+03,"(1.27273435009575e+02dB,9.01095698641527e+01°)"
1.03873536622704e+03,"(1.27262119345112e+02dB,9.01094273503376e+01°)"
1.04031561012478e+03,"(1.27243845824313e+02dB,9.01091976247775e+01°)"
1.04189825807159e+03,"(1.27232598047525e+02dB,9.01090564836913e+01°)"
1.04348331372476e+03,"(1.27221379516464e+02dB,9.01089157754424e+01°)"
1.04507078074719e+03,"(1.27207871329226e+02dB,9.01087468291535e+01°)"
1.04666066280732e+03,"(1.27196714102862e+02dB,9.01086076525675e+01°)"
1.04825296357919e+03,"(1.27180961902087e+02dB,9.01084108501871e+01°)"
1.04984768674243e+03,"(1.27167560442915e+02dB,9.01082438502599e+01°)"
1.05144483598224e+03,"(1.27156498942610e+02dB,9.01081062095161e+01°)"
1.05304441498947e+03,"(1.27145466211123e+02dB,9.01079691722099e+01°)"
1.05464642746054e+03,"(1.27127567807545e+02dB,9.01077471118038e+01°)"
1.05625087709754e+03,"(1.27116601191963e+02dB,9.01076114676292e+01°)"
1.05785776760815e+03,"(1.27103371921590e+02dB,9.01074476378447e+01°)"
1.05946710270571e+03,"(1.27092465208916e+02dB,9.01073132185339e+01°)"
1.06107888610921e+03,"(1.27081586863094e+02dB,9.01071790418223e+01°)"
1.06269312154330e+03,"(1.27063892839817e+02dB,9.01069610663301e+01°)"
1.06430981273828e+03,"(1.27048525584005e+02dB,9.01067720680795e+01°)"
1.06592896343014e+03,"(1.27035472937063e+02dB,9.01066120210408e+01°)"
1.06755057736056e+03,"(1.27024724444570e+02dB,9.01064803984674e+01°)"
1.06917465827690e+03,"(1.27007204477624e+02dB,9.01062660138157e+01°)"
1.07080120993221e+03,"(1.26996520284489e+02dB,9.01061355665510e+01°)"
1.07243023608527e+03,"(1.26983604185921e+02dB,9.01059778672676e+01°)"
1.07406174050058e+03,"(1.26972978400582e+02dB,9.01058484090616e+01°)"
1.07569572694835e+03,"(1.26960126667739e+02dB,9.01056921543711e+01°)"
1.07733219920452e+03,"(1.26945058894249e+02dB,9.01055091199429e+01°)"
1.07897116105082e+03,"(1.26932277769667e+02dB,9.01053542037392e+01°)"
1.08061261627467e+03,"(1.26919530163311e+02dB,9.01051998720213e+01°)"
1.08225656866930e+03,"(1.26909055795271e+02dB,9.01050732576084e+01°)"
1.08390302203369e+03,"(1.26887428723489e+02dB,9.01048121282017e+01°)"
1.08555198017261e+03,"(1.26877022375973e+02dB,9.01046868095817e+01°)"
1.08720344689660e+03,"(1.26864414275116e+02dB,9.01045349839985e+01°)"
1.08885742602201e+03,"(1.26851839166558e+02dB,9.01043839480728e+01°)"
1.09051392137100e+03,"(1.26841519472716e+02dB,9.01042603355567e+01°)"
1.09217293677154e+03,"(1.26824568780199e+02dB,9.01040572431820e+01°)"
1.09383447605742e+03,"(1.26812095279958e+02dB,9.01039080872931e+01°)"
1.09549854306826e+03,"(1.26801866752365e+02dB,9.01037858954778e+01°)"
1.09716514164954e+03,"(1.26789455205793e+02dB,9.01036380412068e+01°)"
1.09883427565256e+03,"(1.26772664464845e+02dB,9.01034380640520e+01°)"
1.10050594893451e+03,"(1.26758122093441e+02dB,9.01032651295543e+01°)"
1.10218016535843e+03,"(1.26745816910250e+02dB,9.01031192367954e+01°)"
1.10385692879323e+03,"(1.26733543865522e+02dB,9.01029737545184e+01°)"
1.10553624311372e+03,"(1.26716919463381e+02dB,9.01027770951274e+01°)"
