Freq.,V(e1)/I(V1)
1.00000000000000e+03,"(1.27591482012330e+02dB,9.01136462382451e+01°)"
1.00152131519647e+03,"(1.27578278088278e+02dB,9.01134739958429e+01°)"
1.00304494479286e+03,"(1.27565074115753e+02dB,9.01133017877207e+01°)"
1.00457089231011e+03,"(1.27551870146594e+02dB,9.01131298371391e+01°)"
1.00609916127451e+03,"(1.27538666233365e+02dB,9.01129580976300e+01°)"
1.00762975521771e+03,"(1.27525462281162e+02dB,9.01127866127277e+01°)"
1.00916267767673e+03,"(1.27512258315839e+02dB,9.01126153987926e+01°)"
1.01069793219398e+03,"(1.27499054357573e+02dB,9.01124445297436e+01°)"
1.01223552231727e+03,"(1.27485850380210e+02dB,9.01122736593629e+01°)"
1.01377545159977e+03,"(1.27472646469654e+02dB,9.01121032552594e+01°)"
1.01531772360009e+03,"(1.27459442476444e+02dB,9.01119331339828e+01°)"
1.01686234188225e+03,"(1.27446238567996e+02dB,9.01117632389278e+01°)"
1.01840931001567e+03,"(1.27433034565925e+02dB,9.01115936838513e+01°)"
1.01995863157521e+03,"(1.27419830615992e+02dB,9.01114241845858e+01°)"
1.02151031014120e+03,"(1.27406626668646e+02dB,9.01112550889544e+01°)"
1.02306434929936e+03,"(1.27393422702825e+02dB,9.01110862917401e+01°)"
1.02462075264091e+03,"(1.27380218774747e+02dB,9.01109175822136e+01°)"
1.02617952376252e+03,"(1.27367014777095e+02dB,9.01107492114833e+01°)"
1.02774066626632e+03,"(1.27353810857556e+02dB,9.01105813722006e+01°)"
1.02930418375994e+03,"(1.27340606859831e+02dB,9.01104133092201e+01°)"
1.03087007985648e+03,"(1.27327402919391e+02dB,9.01102458499111e+01°)"
1.03243835817454e+03,"(1.27314198927500e+02dB,9.01100784070724e+01°)"
1.03400902233825e+03,"(1.27300995016740e+02dB,9.01099112728462e+01°)"
1.03558207597721e+03,"(1.27287791042318e+02dB,9.01097444304547e+01°)"
1.03715752272658e+03,"(1.27274587078351e+02dB,9.01095780666954e+01°)"
1.03873536622704e+03,"(1.27261383093161e+02dB,9.01094117646752e+01°)"
1.04031561012478e+03,"(1.27248179168990e+02dB,9.01092454898634e+01°)"
