Freq.,V(e1)/I(V1)
1000.0,"(1.27591482006653e+02dB,9.01136462381676e+01°)"
1001.52131519647,"(1.27578278080206e+02dB,9.01134738748389e+01°)"
1003.04494479286,"(1.27565074128339e+02dB,9.01133017427242e+01°)"
1004.57089231011,"(1.27551870145289e+02dB,9.01131298058979e+01°)"
1006.09916127451,"(1.27538666242422e+02dB,9.01129580951355e+01°)"
1007.62975521771,"(1.27525462297165e+02dB,9.01127865671116e+01°)"
1009.16267767673,"(1.27512258301229e+02dB,9.01126152484081e+01°)"
1010.69793219398,"(1.27499054347306e+02dB,9.01124443468807e+01°)"
1012.23552231727,"(1.27485850398195e+02dB,9.01122737215612e+01°)"
1013.77545159977,"(1.27472646461888e+02dB,9.01121033135778e+01°)"
1015.31772360009,"(1.27459442476402e+02dB,9.01119330602001e+01°)"
1016.86234188225,"(1.27446238568067e+02dB,9.01117629999220e+01°)"
1018.40931001567,"(1.27433034559157e+02dB,9.01115935494720e+01°)"
1019.95863157521,"(1.27419830622713e+02dB,9.01114242265038e+01°)"
1021.5103101412,"(1.27406626666605e+02dB,9.01112550019549e+01°)"
1023.06434929936,"(1.27393422728831e+02dB,9.01110863056871e+01°)"
1024.62075264091,"(1.27380218763406e+02dB,9.01109175803573e+01°)"
1026.17952376252,"(1.27367014785169e+02dB,9.01107491088745e+01°)"
1027.74066626632,"(1.27353810836358e+02dB,9.01105811473063e+01°)"
1029.30418375994,"(1.27340606861918e+02dB,9.01104131916113e+01°)"
1030.87007985648,"(1.27327402933871e+02dB,9.01102456160337e+01°)"
1032.43835817454,"(1.27314198919733e+02dB,9.01100782905430e+01°)"
1034.00902233825,"(1.27300995013493e+02dB,9.01099112416233e+01°)"
1035.58207597721,"(1.27287791033597e+02dB,9.01097443874469e+01°)"
1037.15752272658,"(1.27274587085011e+02dB,9.01095779366019e+01°)"
1038.73536622704,"(1.27261383097654e+02dB,9.01094116179699e+01°)"
1040.31561012478,"(1.27248179165602e+02dB,9.01092455760560e+01°)"
1041.89825807159,"(1.27234975199750e+02dB,9.01090796370151e+01°)"
1043.48331372476,"(1.27221771203141e+02dB,9.01089140624532e+01°)"
1045.07078074719,"(1.27208567279770e+02dB,9.01087488344090e+01°)"
1046.66066280732,"(1.27195363309512e+02dB,9.01085838498501e+01°)"
1048.25296357919,"(1.27182159342514e+02dB,9.01084190267945e+01°)"
1049.84768674243,"(1.27168955361193e+02dB,9.01082545069033e+01°)"
1051.44483598224,"(1.27155751410653e+02dB,9.01080900440451e+01°)"
1053.04441498947,"(1.27142547473509e+02dB,9.01079260868386e+01°)"
1054.64642746054,"(1.27129343476030e+02dB,9.01077620975836e+01°)"
1056.25087709754,"(1.27116139538291e+02dB,9.01075985668714e+01°)"
1057.85776760815,"(1.27102935538095e+02dB,9.01074352917487e+01°)"
