Freq.,V(e1)/I(V1)
1000.0,"(1.27591482012228e+02dB,9.01136463601948e+01°)"
1001.52131519647,"(1.27578278083739e+02dB,9.01134739653380e+01°)"
1003.04494479286,"(1.27565074119185e+02dB,9.01133017573662e+01°)"
1004.57089231011,"(1.27551870147676e+02dB,9.01131299576778e+01°)"
1006.09916127451,"(1.27538666230033e+02dB,9.01129580516928e+01°)"
1007.62975521771,"(1.27525462289358e+02dB,9.01127865990046e+01°)"
1009.16267767673,"(1.27512258316133e+02dB,9.01126152969539e+01°)"
1010.69793219398,"(1.27499054367726e+02dB,9.01124444393743e+01°)"
1012.23552231727,"(1.27485850381271e+02dB,9.01122736017265e+01°)"
1013.77545159977,"(1.27472646445934e+02dB,9.01121033004924e+01°)"
1015.31772360009,"(1.27459442474007e+02dB,9.01119332394787e+01°)"
1016.86234188225,"(1.27446238554475e+02dB,9.01117630734134e+01°)"
1018.40931001567,"(1.27433034555717e+02dB,9.01115935648261e+01°)"
1019.95863157521,"(1.27419830599070e+02dB,9.01114242740408e+01°)"
1021.5103101412,"(1.27406626663015e+02dB,9.01112551195818e+01°)"
1023.06434929936,"(1.27393422715290e+02dB,9.01110862629503e+01°)"
1024.62075264091,"(1.27380218751167e+02dB,9.01109175674576e+01°)"
1026.17952376252,"(1.27367014794057e+02dB,9.01107493008282e+01°)"
1027.74066626632,"(1.27353810841907e+02dB,9.01105812830008e+01°)"
1029.30418375994,"(1.27340606858737e+02dB,9.01104133235876e+01°)"
1030.87007985648,"(1.27327402939272e+02dB,9.01102457622823e+01°)"
1032.43835817454,"(1.27314198926341e+02dB,9.01100784365846e+01°)"
1034.00902233825,"(1.27300995010108e+02dB,9.01099112441193e+01°)"
1035.58207597721,"(1.27287791026835e+02dB,9.01097443999694e+01°)"
1037.15752272658,"(1.27274587088500e+02dB,9.01095779820059e+01°)"
1038.73536622704,"(1.27261383082157e+02dB,9.01094115733260e+01°)"
1040.31561012478,"(1.27248179160059e+02dB,9.01092456496742e+01°)"
1041.89825807159,"(1.27234975194287e+02dB,9.01090796820999e+01°)"
