Freq.,V(e1)/I(V1)
1000.0,"(1.27591482012251e+02dB,9.01136462817861e+01°)"
1001.52131519647,"(1.27578278065537e+02dB,9.01134737685361e+01°)"
1003.04494479286,"(1.27565074104306e+02dB,9.01133015461453e+01°)"
1004.57089231011,"(1.27551870151029e+02dB,9.01131297314056e+01°)"
1006.09916127451,"(1.27538666247012e+02dB,9.01129581107820e+01°)"
1007.62975521771,"(1.27525462289184e+02dB,9.01127865220560e+01°)"
1009.16267767673,"(1.27512258325294e+02dB,9.01126152944719e+01°)"
1010.69793219398,"(1.27499054351752e+02dB,9.01124443314229e+01°)"
1012.23552231727,"(1.27485850405101e+02dB,9.01122737509063e+01°)"
1013.77545159977,"(1.27472646456309e+02dB,9.01121032396149e+01°)"
1015.31772360009,"(1.27459442493265e+02dB,9.01119332079757e+01°)"
1016.86234188225,"(1.27446238566842e+02dB,9.01117629690633e+01°)"
1018.40931001567,"(1.27433034571507e+02dB,9.01115934427021e+01°)"
1019.95863157521,"(1.27419830617245e+02dB,9.01114241094399e+01°)"
1021.5103101412,"(1.27406626666683e+02dB,9.01112549576150e+01°)"
1023.06434929936,"(1.27393422723178e+02dB,9.01110862162117e+01°)"
1024.62075264091,"(1.27380218750249e+02dB,9.01109174042156e+01°)"
1026.17952376252,"(1.27367014778457e+02dB,9.01107489602354e+01°)"
1027.74066626632,"(1.27353810831921e+02dB,9.01105809421458e+01°)"
1029.30418375994,"(1.27340606867680e+02dB,9.01104132339899e+01°)"
1030.87007985648,"(1.27327402941680e+02dB,9.01102456321943e+01°)"
1032.43835817454,"(1.27314198936412e+02dB,9.01100783329321e+01°)"
1034.00902233825,"(1.27300995011284e+02dB,9.01099111548310e+01°)"
1035.58207597721,"(1.27287791036806e+02dB,9.01097443117729e+01°)"
1037.15752272658,"(1.27274587061932e+02dB,9.01095778338457e+01°)"
1038.73536622704,"(1.27261383105295e+02dB,9.01094115710907e+01°)"
1040.31561012478,"(1.27248179169030e+02dB,9.01092455769406e+01°)"
1041.89825807159,"(1.27234975204114e+02dB,9.01090796654928e+01°)"
1043.48331372476,"(1.27221771206499e+02dB,9.01089140491443e+01°)"
1045.07078074719,"(1.27208567272032e+02dB,9.01087489360013e+01°)"
1046.66066280732,"(1.27195363308511e+02dB,9.01085838232170e+01°)"
1048.25296357919,"(1.27182159329446e+02dB,9.01084189127957e+01°)"
1049.84768674243,"(1.27168955377528e+02dB,9.01082545643557e+01°)"
1051.44483598224,"(1.27155751401933e+02dB,9.01080900157721e+01°)"
1053.04441498947,"(1.27142547482321e+02dB,9.01079259711382e+01°)"
1054.64642746054,"(1.27129343476010e+02dB,9.01077621677812e+01°)"
1056.25087709754,"(1.27116139530715e+02dB,9.01075986104890e+01°)"
1057.85776760815,"(1.27102935528392e+02dB,9.01074353945702e+01°)"
1059.46710270571,"(1.27089731596464e+02dB,9.01072722922177e+01°)"
1061.07888610921,"(1.27076527636529e+02dB,9.01071094362732e+01°)"
1062.6931215433,"(1.27063323678800e+02dB,9.01069468193139e+01°)"
1064.30981273828,"(1.27050119650810e+02dB,9.01067844736723e+01°)"
1065.92896343014,"(1.27036915730626e+02dB,9.01066224966314e+01°)"
1067.55057736056,"(1.27023711767901e+02dB,9.01064608739890e+01°)"
1069.1746582769,"(1.27010507794232e+02dB,9.01062990113255e+01°)"
1070.80120993221,"(1.26997303803951e+02dB,9.01061376726178e+01°)"
1072.43023608527,"(1.26984099845689e+02dB,9.01059764104379e+01°)"
1074.06174050058,"(1.26970895884458e+02dB,9.01058155378652e+01°)"
1075.69572694835,"(1.26957691929496e+02dB,9.01056550838726e+01°)"
1077.33219920452,"(1.26944487952783e+02dB,9.01054946584542e+01°)"
1078.97116105082,"(1.26931283968110e+02dB,9.01053345990233e+01°)"
1080.61261627467,"(1.26918079998211e+02dB,9.01051746642825e+01°)"
1082.2565686693,"(1.26904876033758e+02dB,9.01050150647496e+01°)"
1083.90302203369,"(1.26891672031441e+02dB,9.01048555326829e+01°)"
