Freq.,V(e1)/I(V1)
1000.0,"(1.27601951452396e+02dB,9.01137832785234e+01°)"
1001.52131519647,"(1.27588747535665e+02dB,9.01136107708037e+01°)"
1003.04494479286,"(1.27575543560838e+02dB,9.01134382922162e+01°)"
1004.57089231011,"(1.27562339588017e+02dB,9.01132661793162e+01°)"
1006.09916127451,"(1.27549135664948e+02dB,9.01130941414315e+01°)"
1007.62975521771,"(1.27535931734437e+02dB,9.01129224967786e+01°)"
1009.16267767673,"(1.27522727747454e+02dB,9.01127512445763e+01°)"
1010.69793219398,"(1.27509523788943e+02dB,9.01125799284150e+01°)"
1012.23552231727,"(1.27496319814265e+02dB,9.01124089744342e+01°)"
1013.77545159977,"(1.27483115882045e+02dB,9.01122384530407e+01°)"
1015.31772360009,"(1.27469911918486e+02dB,9.01120680090730e+01°)"
1016.86234188225,"(1.27456707989784e+02dB,9.01118977904534e+01°)"
1018.40931001567,"(1.27443504009058e+02dB,9.01117279096806e+01°)"
1019.95863157521,"(1.27430300061639e+02dB,9.01115584184163e+01°)"
1021.5103101412,"(1.27417096075049e+02dB,9.01113890449243e+01°)"
1023.06434929936,"(1.27403892166550e+02dB,9.01112201788209e+01°)"
1024.62075264091,"(1.27390688194763e+02dB,9.01110512345287e+01°)"
1026.17952376252,"(1.27377484223967e+02dB,9.01108826661632e+01°)"
1027.74066626632,"(1.27364280257804e+02dB,9.01107143539503e+01°)"
1029.30418375994,"(1.27351076296756e+02dB,9.01105463297688e+01°)"
1030.87007985648,"(1.27337872368114e+02dB,9.01103785527553e+01°)"
1032.43835817454,"(1.27324668378029e+02dB,9.01102110103874e+01°)"
1034.00902233825,"(1.27311464431926e+02dB,9.01100436454969e+01°)"
1035.58207597721,"(1.27298260463672e+02dB,9.01098766904692e+01°)"
1037.15752272658,"(1.27285056531706e+02dB,9.01097100717759e+01°)"
1038.73536622704,"(1.27271852524456e+02dB,9.01095434505459e+01°)"
1040.31561012478,"(1.27258648626197e+02dB,9.01093772666335e+01°)"
1041.89825807159,"(1.27245444637581e+02dB,9.01092112149709e+01°)"
1043.48331372476,"(1.27232240647856e+02dB,9.01090453118748e+01°)"
1045.07078074719,"(1.27219036725338e+02dB,9.01088800163959e+01°)"
1046.66066280732,"(1.27205832733362e+02dB,9.01087146882086e+01°)"
