Freq.,V(e1)/I(V1)
1000.0,"(1.27593888210185e+02dB,9.01136777889432e+01°)"
1001.52131519647,"(1.27580684269922e+02dB,9.01135051463276e+01°)"
1003.04494479286,"(1.27567480295574e+02dB,9.01133330916205e+01°)"
1004.57089231011,"(1.27554276308047e+02dB,9.01131611281239e+01°)"
1006.09916127451,"(1.27541072427812e+02dB,9.01129891980418e+01°)"
1007.62975521771,"(1.27527868486937e+02dB,9.01128178245501e+01°)"
1009.16267767673,"(1.27514664529045e+02dB,9.01126465384941e+01°)"
1010.69793219398,"(1.27501460547059e+02dB,9.01124755531628e+01°)"
1012.23552231727,"(1.27488256596103e+02dB,9.01123047791820e+01°)"
1013.77545159977,"(1.27475052649979e+02dB,9.01121343018224e+01°)"
1015.31772360009,"(1.27461848681731e+02dB,9.01119640799899e+01°)"
1016.86234188225,"(1.27448644735247e+02dB,9.01117940666524e+01°)"
1018.40931001567,"(1.27435440753179e+02dB,9.01116242635493e+01°)"
1019.95863157521,"(1.27422236822111e+02dB,9.01114550105942e+01°)"
1021.5103101412,"(1.27409032838529e+02dB,9.01112857862358e+01°)"
1023.06434929936,"(1.27395828921595e+02dB,9.01111169016678e+01°)"
1024.62075264091,"(1.27382624931574e+02dB,9.01109482523475e+01°)"
1026.17952376252,"(1.27369420968690e+02dB,9.01107797689035e+01°)"
1027.74066626632,"(1.27356217032787e+02dB,9.01106119217347e+01°)"
1029.30418375994,"(1.27343013055724e+02dB,9.01104439374907e+01°)"
1030.87007985648,"(1.27329809129298e+02dB,9.01102762607273e+01°)"
1032.43835817454,"(1.27316605101721e+02dB,9.01101086148115e+01°)"
1034.00902233825,"(1.27303401190123e+02dB,9.01099415001471e+01°)"
1035.58207597721,"(1.27290197250667e+02dB,9.01097748062625e+01°)"
1037.15752272658,"(1.27276993257405e+02dB,9.01096083604592e+01°)"
1038.73536622704,"(1.27263789296744e+02dB,9.01094420076164e+01°)"
1040.31561012478,"(1.27250585368760e+02dB,9.01092759544891e+01°)"
