Freq.,V(e1)/I(V1)
1000.0,"(1.27591482083018e+02dB,9.01136462615980e+01°)"
1001.52131519647,"(1.27578278144980e+02dB,9.01134738833211e+01°)"
1003.04494479286,"(1.27565074172216e+02dB,9.01133016910243e+01°)"
1004.57089231011,"(1.27551870223384e+02dB,9.01131299836761e+01°)"
1006.09916127451,"(1.27538666306473e+02dB,9.01129580006205e+01°)"
1007.62975521771,"(1.27525462370934e+02dB,9.01127866198362e+01°)"
1009.16267767673,"(1.27512258380437e+02dB,9.01126154219933e+01°)"
1010.69793219398,"(1.27499054427135e+02dB,9.01124445073158e+01°)"
1012.23552231727,"(1.27485850460618e+02dB,9.01122736982371e+01°)"
1013.77545159977,"(1.27472646528591e+02dB,9.01121032783521e+01°)"
1015.31772360009,"(1.27459442550564e+02dB,9.01119331872882e+01°)"
1016.86234188225,"(1.27446238633217e+02dB,9.01117631275852e+01°)"
1018.40931001567,"(1.27433034637183e+02dB,9.01115936009981e+01°)"
1019.95863157521,"(1.27419830674774e+02dB,9.01114240590286e+01°)"
1021.5103101412,"(1.27406626733751e+02dB,9.01112550549457e+01°)"
1023.06434929936,"(1.27393422784326e+02dB,9.01110862409778e+01°)"
1024.62075264091,"(1.27380218835556e+02dB,9.01109176630541e+01°)"
1026.17952376252,"(1.27367014850023e+02dB,9.01107491913766e+01°)"
1027.74066626632,"(1.27353810913394e+02dB,9.01105812476751e+01°)"
1029.30418375994,"(1.27340606930657e+02dB,9.01104132147189e+01°)"
1030.87007985648,"(1.27327403014382e+02dB,9.01102457702475e+01°)"
1032.43835817454,"(1.27314198993149e+02dB,9.01100784318103e+01°)"
1034.00902233825,"(1.27300995093215e+02dB,9.01099112387361e+01°)"
1035.58207597721,"(1.27287791103885e+02dB,9.01097443365050e+01°)"
1037.15752272658,"(1.27274587151632e+02dB,9.01095780033002e+01°)"
1038.73536622704,"(1.27261383166051e+02dB,9.01094116846133e+01°)"
1040.31561012478,"(1.27248179241339e+02dB,9.01092456737038e+01°)"
1041.89825807159,"(1.27234975274841e+02dB,9.01090796601146e+01°)"
1043.48331372476,"(1.27221771293230e+02dB,9.01089141725456e+01°)"
