Freq.,V(e1)/I(v1)
1000.0,"(1.27591481977127e+02dB,9.01137763435912e+01°)"
1001.52131519647,"(1.27578278055545e+02dB,9.01136037365801e+01°)"
1003.04494479286,"(1.27565074088806e+02dB,9.01134312715213e+01°)"
1004.57089231011,"(1.27551870120788e+02dB,9.01132595942388e+01°)"
1006.09916127451,"(1.27538666205653e+02dB,9.01130873389641e+01°)"
1007.62975521771,"(1.27525462251229e+02dB,9.01129157467353e+01°)"
1009.16267767673,"(1.27512258287274e+02dB,9.01127442650195e+01°)"
1010.69793219398,"(1.27499054303842e+02dB,9.01125729266561e+01°)"
1012.23552231727,"(1.27485850355923e+02dB,9.01124022394018e+01°)"
1013.77545159977,"(1.27472646425425e+02dB,9.01122315632311e+01°)"
1015.31772360009,"(1.27459442440081e+02dB,9.01120612325558e+01°)"
1016.86234188225,"(1.27446238530794e+02dB,9.01118910666444e+01°)"
1018.40931001567,"(1.27433034519785e+02dB,9.01117212283123e+01°)"
1019.95863157521,"(1.27419830567604e+02dB,9.01115516838631e+01°)"
1021.5103101412,"(1.27406626630665e+02dB,9.01113823972474e+01°)"
1023.06434929936,"(1.27393422681816e+02dB,9.01112133591572e+01°)"
1024.62075264091,"(1.27380218734484e+02dB,9.01110444852549e+01°)"
1026.17952376252,"(1.27367014743976e+02dB,9.01108758793985e+01°)"
1027.74066626632,"(1.27353810809959e+02dB,9.01107078475065e+01°)"
1029.30418375994,"(1.27340606817804e+02dB,9.01105396220844e+01°)"
1030.87007985648,"(1.27327402896425e+02dB,9.01103718097399e+01°)"
1032.43835817454,"(1.27314198880241e+02dB,9.01102042334562e+01°)"
1034.00902233825,"(1.27300994971765e+02dB,9.01100369527647e+01°)"
1035.58207597721,"(1.27287791008535e+02dB,9.01098700079130e+01°)"
1037.15752272658,"(1.27274587049138e+02dB,9.01097034257337e+01°)"
1038.73536622704,"(1.27261383058679e+02dB,9.01095368115904e+01°)"
1040.31561012478,"(1.27248179130078e+02dB,9.01093704514381e+01°)"
1041.89825807159,"(1.27234975163024e+02dB,9.01092044656323e+01°)"
1043.48331372476,"(1.27221771188557e+02dB,9.01090388778637e+01°)"
1045.07078074719,"(1.27208567235529e+02dB,9.01088733714781e+01°)"
1046.66066280732,"(1.27195363268799e+02dB,9.01087081994468e+01°)"
1048.25296357919,"(1.27182159296511e+02dB,9.01085431467152e+01°)"
1049.84768674243,"(1.27168955329431e+02dB,9.01083783322188e+01°)"
1051.44483598224,"(1.27155751383379e+02dB,9.01082137111381e+01°)"
1053.04441498947,"(1.27142547436493e+02dB,9.01080495378222e+01°)"
1054.64642746054,"(1.27129343440154e+02dB,9.01078854758469e+01°)"
1056.25087709754,"(1.27116139508132e+02dB,9.01077218146787e+01°)"
1057.85776760815,"(1.27102935499215e+02dB,9.01075581965967e+01°)"
1059.46710270571,"(1.27089731583946e+02dB,9.01073951841713e+01°)"
1061.07888610921,"(1.27076527609907e+02dB,9.01072320953763e+01°)"
1062.6931215433,"(1.27063323634807e+02dB,9.01070693082695e+01°)"
1064.30981273828,"(1.27050119622820e+02dB,9.01069067595463e+01°)"
