Freq.,V(e1)/I(V1)
1000.0,"(1.27591482037058e+02dB,9.01136462190392e+01°)"
1001.52131519647,"(1.27578278091279e+02dB,9.01134738334861e+01°)"
1003.04494479286,"(1.27565074136544e+02dB,9.01133015733268e+01°)"
1004.57089231011,"(1.27551870168925e+02dB,9.01131298214851e+01°)"
1006.09916127451,"(1.27538666243937e+02dB,9.01129578254230e+01°)"
1007.62975521771,"(1.27525462293145e+02dB,9.01127866260905e+01°)"
1009.16267767673,"(1.27512258331178e+02dB,9.01126151437351e+01°)"
1010.69793219398,"(1.27499054340926e+02dB,9.01124443789721e+01°)"
1012.23552231727,"(1.27485850388741e+02dB,9.01122737827323e+01°)"
1013.77545159977,"(1.27472646464676e+02dB,9.01121032721044e+01°)"
1015.31772360009,"(1.27459442501837e+02dB,9.01119332424447e+01°)"
1016.86234188225,"(1.27446238558136e+02dB,9.01117631532657e+01°)"
1018.40931001567,"(1.27433034577574e+02dB,9.01115936094097e+01°)"
1019.95863157521,"(1.27419830623921e+02dB,9.01114243582484e+01°)"
1021.5103101412,"(1.27406626659206e+02dB,9.01112551791699e+01°)"
1023.06434929936,"(1.27393422738808e+02dB,9.01110862143518e+01°)"
1024.62075264091,"(1.27380218777768e+02dB,9.01109177839910e+01°)"
1026.17952376252,"(1.27367014809454e+02dB,9.01107493783218e+01°)"
1027.74066626632,"(1.27353810824660e+02dB,9.01105808843820e+01°)"
1029.30418375994,"(1.27340606872316e+02dB,9.01104130818320e+01°)"
1030.87007985648,"(1.27327402931742e+02dB,9.01102455579934e+01°)"
1032.43835817454,"(1.27314198930439e+02dB,9.01100783063513e+01°)"
1034.00902233825,"(1.27300995021733e+02dB,9.01099112154400e+01°)"
1035.58207597721,"(1.27287791053604e+02dB,9.01097444979501e+01°)"
1037.15752272658,"(1.27274587076840e+02dB,9.01095779304337e+01°)"
1038.73536622704,"(1.27261383078825e+02dB,9.01094115776614e+01°)"
1040.31561012478,"(1.27248179164125e+02dB,9.01092456093953e+01°)"
1041.89825807159,"(1.27234975184286e+02dB,9.01090796965641e+01°)"
1043.48331372476,"(1.27221771228879e+02dB,9.01089141823975e+01°)"
1045.07078074719,"(1.27208567269605e+02dB,9.01087487428297e+01°)"
1046.66066280732,"(1.27195363302176e+02dB,9.01085837326312e+01°)"
1048.25296357919,"(1.27182159334428e+02dB,9.01084191176149e+01°)"
1049.84768674243,"(1.27168955365871e+02dB,9.01082543943627e+01°)"
1051.44483598224,"(1.27155751426916e+02dB,9.01080901698663e+01°)"
1053.04441498947,"(1.27142547473634e+02dB,9.01079259628748e+01°)"
1054.64642746054,"(1.27129343476756e+02dB,9.01077621454602e+01°)"
1056.25087709754,"(1.27116139540887e+02dB,9.01075987198594e+01°)"
1057.85776760815,"(1.27102935535625e+02dB,9.01074352232697e+01°)"
1059.46710270571,"(1.27089731600186e+02dB,9.01072722599712e+01°)"
1061.07888610921,"(1.27076527626672e+02dB,9.01071093281054e+01°)"
1062.6931215433,"(1.27063323680034e+02dB,9.01069468844908e+01°)"
1064.30981273828,"(1.27050119670458e+02dB,9.01067843990106e+01°)"
1065.92896343014,"(1.27036915717650e+02dB,9.01066225663582e+01°)"
1067.55057736056,"(1.27023711777020e+02dB,9.01064608582979e+01°)"
1069.1746582769,"(1.27010507798676e+02dB,9.01062990564475e+01°)"
