Freq.,V(e1)/I(V1)
1000.0,"(1.27598475666544e+02dB,9.01137378538591e+01°)"
1001.52131519647,"(1.27585271763414e+02dB,9.01135654892821e+01°)"
1003.04494479286,"(1.27572067755435e+02dB,9.01133929902411e+01°)"
1004.57089231011,"(1.27558863808425e+02dB,9.01132211015269e+01°)"
1006.09916127451,"(1.27545659920538e+02dB,9.01130493266608e+01°)"
1007.62975521771,"(1.27532455940697e+02dB,9.01128773744863e+01°)"
1009.16267767673,"(1.27519251954886e+02dB,9.01127060368627e+01°)"
1010.69793219398,"(1.27506048010759e+02dB,9.01125351647686e+01°)"
1012.23552231727,"(1.27492844042339e+02dB,9.01123642045750e+01°)"
1013.77545159977,"(1.27479640106455e+02dB,9.01121936306300e+01°)"
1015.31772360009,"(1.27466436146848e+02dB,9.01120232992513e+01°)"
1016.86234188225,"(1.27453232230983e+02dB,9.01118532676781e+01°)"
1018.40931001567,"(1.27440028236136e+02dB,9.01116835304269e+01°)"
1019.95863157521,"(1.27426824270652e+02dB,9.01115140309649e+01°)"
1021.5103101412,"(1.27413620306709e+02dB,9.01113448146617e+01°)"
1023.06434929936,"(1.27400416375314e+02dB,9.01111758652442e+01°)"
1024.62075264091,"(1.27387212417796e+02dB,9.01110069738743e+01°)"
1026.17952376252,"(1.27374008439540e+02dB,9.01108383380889e+01°)"
1027.74066626632,"(1.27360804496001e+02dB,9.01106702300023e+01°)"
1029.30418375994,"(1.27347600509831e+02dB,9.01105021223910e+01°)"
1030.87007985648,"(1.27334396595868e+02dB,9.01103345749578e+01°)"
1032.43835817454,"(1.27321192577225e+02dB,9.01101671132422e+01°)"
1034.00902233825,"(1.27307988674699e+02dB,9.01099998600783e+01°)"
1035.58207597721,"(1.27294784699306e+02dB,9.01098329266729e+01°)"
1037.15752272658,"(1.27281580744616e+02dB,9.01096663286252e+01°)"
1038.73536622704,"(1.27268376760824e+02dB,9.01094998042092e+01°)"
1040.31561012478,"(1.27255172842919e+02dB,9.01093336015178e+01°)"
1041.89825807159,"(1.27241968858656e+02dB,9.01091676596011e+01°)"
1043.48331372476,"(1.27228764888876e+02dB,9.01090019213627e+01°)"
1045.07078074719,"(1.27215560951958e+02dB,9.01088365620385e+01°)"
1046.66066280732,"(1.27202356961354e+02dB,9.01086714006269e+01°)"
1048.25296357919,"(1.27189152986990e+02dB,9.01085063019477e+01°)"
1049.84768674243,"(1.27175949029982e+02dB,9.01083418066637e+01°)"
1051.44483598224,"(1.27162745072261e+02dB,9.01081770531561e+01°)"
1053.04441498947,"(1.27149541119999e+02dB,9.01080129650571e+01°)"
1054.64642746054,"(1.27136337141873e+02dB,9.01078489594541e+01°)"
1056.25087709754,"(1.27123133199879e+02dB,9.01076854559606e+01°)"
1057.85776760815,"(1.27109929194662e+02dB,9.01075218352299e+01°)"
1059.46710270571,"(1.27096725271061e+02dB,9.01073588359291e+01°)"
1061.07888610921,"(1.27083521297970e+02dB,9.01071959303794e+01°)"
1062.6931215433,"(1.27070317340251e+02dB,9.01070331144452e+01°)"
1064.30981273828,"(1.27057113305947e+02dB,9.01068705916612e+01°)"
1065.92896343014,"(1.27043909387661e+02dB,9.01067084436547e+01°)"
1067.55057736056,"(1.27030705432266e+02dB,9.01065466374135e+01°)"
1069.1746582769,"(1.27017501452817e+02dB,9.01063848829445e+01°)"
1070.80120993221,"(1.27004297466824e+02dB,9.01062233150866e+01°)"
1072.43023608527,"(1.26991093519263e+02dB,9.01060619117978e+01°)"
1074.06174050058,"(1.26977889547540e+02dB,9.01059008087599e+01°)"
1075.69572694835,"(1.26964685598014e+02dB,9.01057402698949e+01°)"
1077.33219920452,"(1.26951481624753e+02dB,9.01055797003677e+01°)"
1078.97116105082,"(1.26938277616885e+02dB,9.01054195266679e+01°)"
1080.61261627467,"(1.26925073663330e+02dB,9.01052594903785e+01°)"
1082.2565686693,"(1.26911869681481e+02dB,9.01050997201925e+01°)"
1083.90302203369,"(1.26898665728149e+02dB,9.01049401885437e+01°)"
1085.55198017261,"(1.26885461730126e+02dB,9.01047809078489e+01°)"
1087.2034468966,"(1.26872257757423e+02dB,9.01046217822362e+01°)"
1088.85742602201,"(1.26859053797771e+02dB,9.01044629859865e+01°)"
1090.513921371,"(1.26845849824428e+02dB,9.01043044713008e+01°)"
1092.17293677154,"(1.26832645844351e+02dB,9.01041461907782e+01°)"
1093.83447605742,"(1.26819441878876e+02dB,9.01039880896868e+01°)"
1095.49854306826,"(1.26806237916580e+02dB,9.01038303186725e+01°)"
1097.16514164954,"(1.26793033965921e+02dB,9.01036728681294e+01°)"
1098.83427565256,"(1.26779829993477e+02dB,9.01035154125908e+01°)"
1100.50594893451,"(1.26766625985076e+02dB,9.01033583030260e+01°)"
1102.18016535843,"(1.26753421999619e+02dB,9.01032013854792e+01°)"
1103.85692879323,"(1.26740218021817e+02dB,9.01030448239295e+01°)"
1105.53624311372,"(1.26727014020679e+02dB,9.01028883728838e+01°)"
1107.21811220062,"(1.26713810098917e+02dB,9.01027323840318e+01°)"
1108.90253994051,"(1.26700606105245e+02dB,9.01025762869712e+01°)"
1110.58953022592,"(1.26687402101727e+02dB,9.01024207487985e+01°)"
1112.27908695529,"(1.26674198150694e+02dB,9.01022653584270e+01°)"
1113.97121403298,"(1.26660994159957e+02dB,9.01021101973507e+01°)"
1115.66591536932,"(1.26647790200201e+02dB,9.01019551212942e+01°)"
1117.36319488055,"(1.26634586205449e+02dB,9.01018003012684e+01°)"
1119.06305648889,"(1.26621382238939e+02dB,9.01016458981378e+01°)"
1120.76550412253,"(1.26608178246521e+02dB,9.01014915659069e+01°)"
1122.47054171563,"(1.26594974299704e+02dB,9.01013376075201e+01°)"
1124.17817320832,"(1.26581770266161e+02dB,9.01011838356712e+01°)"
1125.88840254676,"(1.26568566296742e+02dB,9.01010302274793e+01°)"
1127.60123368308,"(1.26555362320525e+02dB,9.01008769308959e+01°)"
1129.31667057543,"(1.26542158320336e+02dB,9.01007237904256e+01°)"
1131.034717188,"(1.26528954365118e+02dB,9.01005709293634e+01°)"
1132.75537749099,"(1.26515750379361e+02dB,9.01004182313562e+01°)"
1134.47865546064,"(1.26502546420112e+02dB,9.01002658655234e+01°)"
1136.20455507926,"(1.26489342403707e+02dB,9.01001136170858e+01°)"
1137.9330803352,"(1.26476138431344e+02dB,9.00999617696520e+01°)"
1139.66423522287,"(1.26462934448074e+02dB,9.00998102099207e+01°)"
1141.39802374279,"(1.26449730475222e+02dB,9.00996587328674e+01°)"
1143.13444990152,"(1.26436526500254e+02dB,9.00995075303759e+01°)"
1144.87351771176,"(1.26423322512423e+02dB,9.00993564110597e+01°)"
1146.61523119229,"(1.26410118492422e+02dB,9.00992057310346e+01°)"
1148.359594368,"(1.26396914525362e+02dB,9.00990551241053e+01°)"
1150.10661126992,"(1.26383710524651e+02dB,9.00989048439529e+01°)"
1151.8562859352,"(1.26370506517033e+02dB,9.00987546939522e+01°)"
1153.60862240713,"(1.26357302570795e+02dB,9.00986048601137e+01°)"
1155.36362473518,"(1.26344098552518e+02dB,9.00984552444447e+01°)"
1157.12129697493,"(1.26330894539605e+02dB,9.00983057866712e+01°)"
1158.88164318817,"(1.26317690590758e+02dB,9.00981565788401e+01°)"
1160.64466744286,"(1.26304486600508e+02dB,9.00980076142144e+01°)"
1162.41037381313,"(1.26291282611956e+02dB,9.00978589380138e+01°)"
1164.17876637935,"(1.26278078600188e+02dB,9.00977104015426e+01°)"
1165.94984922804,"(1.26264874618023e+02dB,9.00975621257210e+01°)"
1167.72362645199,"(1.26251670659470e+02dB,9.00974140693234e+01°)"
1169.50010215018,"(1.26238466651813e+02dB,9.00972662301228e+01°)"
1171.27928042785,"(1.26225262660140e+02dB,9.00971187004224e+01°)"
1173.06116539647,"(1.26212058693587e+02dB,9.00969714033377e+01°)"
1174.84576117377,"(1.26198854691396e+02dB,9.00968242335491e+01°)"
1176.63307188375,"(1.26185650704878e+02dB,9.00966772957979e+01°)"
1178.42310165667,"(1.26172446665660e+02dB,9.00965305091054e+01°)"
1180.21585462909,"(1.26159242674807e+02dB,9.00963840041923e+01°)"
1182.01133494384,"(1.26146038694315e+02dB,9.00962378822032e+01°)"
