Freq.,V(e1)/I(V1)
1000.0,"(1.27591482024743e+02dB,9.01136461245807e+01°)"
1001.52201911367,"(1.27578271989209e+02dB,9.01134737040516e+01°)"
1003.04635476951,"(1.27565061941960e+02dB,9.01133013578779e+01°)"
1004.57301049337,"(1.27551851888774e+02dB,9.01131295003424e+01°)"
1006.10198981641,"(1.27538641811125e+02dB,9.01129577129223e+01°)"
1007.63329627521,"(1.27525431755601e+02dB,9.01127860717478e+01°)"
1009.16693341171,"(1.27512221715734e+02dB,9.01126147156961e+01°)"
1010.70290477324,"(1.27499011659275e+02dB,9.01124439092371e+01°)"
1012.24121391254,"(1.27485801608126e+02dB,9.01122730467767e+01°)"
1013.78186438776,"(1.27472591541299e+02dB,9.01121025354368e+01°)"
1015.32485976244,"(1.27459381438853e+02dB,9.01119321925723e+01°)"
1016.87020360558,"(1.27446171434575e+02dB,9.01117623210366e+01°)"
1018.41789949159,"(1.27432961378121e+02dB,9.01115927626795e+01°)"
1019.96795100031,"(1.27419751286722e+02dB,9.01114231821598e+01°)"
1021.52036171706,"(1.27406541251035e+02dB,9.01112538648692e+01°)"
1023.07513523259,"(1.27393331173023e+02dB,9.01110852399188e+01°)"
1024.63227514313,"(1.27380121121889e+02dB,9.01109164294392e+01°)"
1026.19178505038,"(1.27366911046098e+02dB,9.01107478149404e+01°)"
1027.75366856151,"(1.27353701004029e+02dB,9.01105796336486e+01°)"
1029.31792928921,"(1.27340490928947e+02dB,9.01104117811388e+01°)"
1030.88457085162,"(1.27327280883200e+02dB,9.01102440390273e+01°)"
1032.45359687244,"(1.27314070796719e+02dB,9.01100767057516e+01°)"
1034.02501098086,"(1.27300860701859e+02dB,9.01099094548403e+01°)"
1035.59881681158,"(1.27287650656547e+02dB,9.01097426154124e+01°)"
1037.17501800485,"(1.27274440606174e+02dB,9.01095760378066e+01°)"
1038.75361820647,"(1.27261230538207e+02dB,9.01094096416135e+01°)"
1040.33462106777,"(1.27248020475322e+02dB,9.01092436256760e+01°)"
1041.91803024565,"(1.27234810373360e+02dB,9.01090776046074e+01°)"
1043.50384940256,"(1.27221600321382e+02dB,9.01089118911578e+01°)"
1045.09208220653,"(1.27208390259602e+02dB,9.01087467225622e+01°)"
1046.68273233119,"(1.27195180187218e+02dB,9.01085815194109e+01°)"
1048.27580345574,"(1.27181970119635e+02dB,9.01084165670196e+01°)"
1049.87129926499,"(1.27168760027224e+02dB,9.01082518611491e+01°)"
1051.46922344937,"(1.27155549983609e+02dB,9.01080875205505e+01°)"
1053.06957970489,"(1.27142339905370e+02dB,9.01079233876473e+01°)"
1054.67237173322,"(1.27129129833853e+02dB,9.01077595196761e+01°)"
1056.27760324165,"(1.27115919768536e+02dB,9.01075958991045e+01°)"
1057.88527794312,"(1.27102709699122e+02dB,9.01074325616532e+01°)"
1059.49539955622,"(1.27089499642986e+02dB,9.01072695156171e+01°)"
1061.1079718051801,"(1.27076289548470e+02dB,9.01071064821712e+01°)"
1062.72299841993,"(1.27063079480633e+02dB,9.01069439451798e+01°)"
1064.34048313606,"(1.27049869430350e+02dB,9.01067814952183e+01°)"
1065.96042969484,"(1.27036659360835e+02dB,9.01066193123768e+01°)"
1067.58284184325,"(1.27023449287459e+02dB,9.01064574596750e+01°)"
1069.20772333396,"(1.27010239222286e+02dB,9.01062956595238e+01°)"
1070.83507792535,"(1.26997029114820e+02dB,9.01061345351703e+01°)"
1072.46490938154,"(1.26983819077455e+02dB,9.01059732086681e+01°)"
1074.09722147235,"(1.26970608996884e+02dB,9.01058123452718e+01°)"
1075.73201797337,"(1.26957398889252e+02dB,9.01056514539106e+01°)"
1077.36930266591,"(1.26944188838987e+02dB,9.01054911712491e+01°)"
1079.00907933704,"(1.26930978736619e+02dB,9.01053308339224e+01°)"
1080.65135177961,"(1.26917768661598e+02dB,9.01051708682759e+01°)"
1082.29612379223,"(1.26904558617553e+02dB,9.01050111411597e+01°)"
