Freq.,V(e1)/I(V1)
1000.0,"(1.27591481936410e+02dB,9.01136464868337e+01°)"
1001.52201911367,"(1.27578271891354e+02dB,9.01134737841359e+01°)"
1003.04635476951,"(1.27565061842158e+02dB,9.01133015218099e+01°)"
1004.57301049337,"(1.27551851799207e+02dB,9.01131296050508e+01°)"
1006.10198981641,"(1.27538641721032e+02dB,9.01129579122935e+01°)"
1007.63329627521,"(1.27525431631303e+02dB,9.01127859880194e+01°)"
1009.16693341171,"(1.27512221619394e+02dB,9.01126149938240e+01°)"
1010.70290477324,"(1.27499011542190e+02dB,9.01124436760658e+01°)"
1012.24121391254,"(1.27485801490757e+02dB,9.01122728984425e+01°)"
1013.78186438776,"(1.27472591421755e+02dB,9.01121025915260e+01°)"
1015.32485976244,"(1.27459381355258e+02dB,9.01119322617962e+01°)"
1016.87020360558,"(1.27446171313419e+02dB,9.01117623765340e+01°)"
1018.41789949159,"(1.27432961253490e+02dB,9.01115926892432e+01°)"
1019.96795100031,"(1.27419751171128e+02dB,9.01114230645967e+01°)"
1021.52036171706,"(1.27406541133338e+02dB,9.01112539039350e+01°)"
1023.07513523259,"(1.27393331038899e+02dB,9.01110848138451e+01°)"
1024.63227514313,"(1.27380121011588e+02dB,9.01109162198121e+01°)"
1026.19178505038,"(1.27366910925261e+02dB,9.01107476430021e+01°)"
1027.75366856151,"(1.27353700882632e+02dB,9.01105795111010e+01°)"
1029.31792928921,"(1.27340490814574e+02dB,9.01104118005545e+01°)"
1030.88457085162,"(1.27327280754601e+02dB,9.01102442835927e+01°)"
1032.45359687244,"(1.27314070665698e+02dB,9.01100764948718e+01°)"
1034.02501098086,"(1.27300860595923e+02dB,9.01099093540367e+01°)"
1035.59881681158,"(1.27287650530458e+02dB,9.01097426130029e+01°)"
1037.17501800485,"(1.27274440485809e+02dB,9.01095762765672e+01°)"
1038.75361820647,"(1.27261230426689e+02dB,9.01094098673350e+01°)"
1040.33462106777,"(1.27248020352411e+02dB,9.01092437108515e+01°)"
1041.91803024565,"(1.27234810247187e+02dB,9.01090776379800e+01°)"
1043.50384940256,"(1.27221600214814e+02dB,9.01089119463289e+01°)"
1045.09208220653,"(1.27208390138825e+02dB,9.01087464508336e+01°)"
1046.68273233119,"(1.27195180075659e+02dB,9.01085815982612e+01°)"
1048.27580345574,"(1.27181969995657e+02dB,9.01084166835163e+01°)"
1049.87129926499,"(1.27168759910970e+02dB,9.01082518383275e+01°)"
1051.46922344937,"(1.27155549878761e+02dB,9.01080875066180e+01°)"
1053.06957970489,"(1.27142339788887e+02dB,9.01079233243494e+01°)"
1054.67237173322,"(1.27129129720618e+02dB,9.01077595831682e+01°)"
1056.27760324165,"(1.27115919665233e+02dB,9.01075959775409e+01°)"
1057.88527794312,"(1.27102709583279e+02dB,9.01074326598483e+01°)"
1059.49539955622,"(1.27089499505502e+02dB,9.01072692661715e+01°)"
1061.1079718051801,"(1.27076289458607e+02dB,9.01071064958650e+01°)"
1062.72299841993,"(1.27063079356638e+02dB,9.01069439815648e+01°)"
1064.34048313606,"(1.27049869289466e+02dB,9.01067815238031e+01°)"
1065.96042969484,"(1.27036659247395e+02dB,9.01066192960718e+01°)"
1067.58284184325,"(1.27023449159807e+02dB,9.01064576511381e+01°)"
1069.20772333396,"(1.27010239088845e+02dB,9.01062956884039e+01°)"
1070.83507792535,"(1.26997028982113e+02dB,9.01061342812879e+01°)"
1072.46490938154,"(1.26983818924729e+02dB,9.01059729551202e+01°)"
1074.09722147235,"(1.26970608878964e+02dB,9.01058122075237e+01°)"
1075.73201797337,"(1.26957398785157e+02dB,9.01056515116367e+01°)"
1077.36930266591,"(1.26944188720618e+02dB,9.01054911442332e+01°)"
1079.00907933704,"(1.26930978600695e+02dB,9.01053307661464e+01°)"
1080.65135177961,"(1.26917768548378e+02dB,9.01051710774708e+01°)"
1082.29612379223,"(1.26904558480639e+02dB,9.01050114149458e+01°)"
1083.94339917929,"(1.26891348386165e+02dB,9.01048517583703e+01°)"
1085.59318175097,"(1.26878138294083e+02dB,9.01046926020623e+01°)"
1087.24547532326,"(1.26864928254683e+02dB,9.01045335381642e+01°)"
1088.90028371795,"(1.26851718161816e+02dB,9.01043748395800e+01°)"
1090.55761076265,"(1.26838508051744e+02dB,9.01042163926169e+01°)"
1092.21746029078,"(1.26825298018266e+02dB,9.01040582050610e+01°)"
1093.87983614162,"(1.26812087948876e+02dB,9.01039000298133e+01°)"
1095.54474216028,"(1.26798877838681e+02dB,9.01037423061056e+01°)"
1097.21218219773,"(1.26785667733030e+02dB,9.01035848240586e+01°)"
1098.88216011078,"(1.26772457701529e+02dB,9.01034275446453e+01°)"
1100.55467976214,"(1.26759247602684e+02dB,9.01032705245515e+01°)"
1102.22974502037,"(1.26746037535678e+02dB,9.01031138169195e+01°)"
