Freq.,V(e1)/I(V1)
1000.0,"(1.27591482271925e+02dB,9.01136462085407e+01°)"
1001.52201911367,"(1.27578272222809e+02dB,9.01134738124789e+01°)"
1003.04635476951,"(1.27565062180783e+02dB,9.01133017618829e+01°)"
1004.57301049337,"(1.27551852134556e+02dB,9.01131294150514e+01°)"
1006.10198981641,"(1.27538642047868e+02dB,9.01129577294427e+01°)"
1007.63329627521,"(1.27525431984308e+02dB,9.01127861970870e+01°)"
1009.16693341171,"(1.27512221950263e+02dB,9.01126149804097e+01°)"
1010.70290477324,"(1.27499011884589e+02dB,9.01124437762984e+01°)"
1012.24121391254,"(1.27485801839061e+02dB,9.01122732608142e+01°)"
1013.78186438776,"(1.27472591779780e+02dB,9.01121026131816e+01°)"
1015.32485976244,"(1.27459381682262e+02dB,9.01119321767691e+01°)"
1016.87020360558,"(1.27446171656724e+02dB,9.01117621875057e+01°)"
1018.41789949159,"(1.27432961606863e+02dB,9.01115928387672e+01°)"
1019.96795100031,"(1.27419751546879e+02dB,9.01114231891446e+01°)"
1021.52036171706,"(1.27406541504959e+02dB,9.01112540734041e+01°)"
1023.07513523259,"(1.27393331382542e+02dB,9.01110850058867e+01°)"
1024.63227514313,"(1.27380121356491e+02dB,9.01109163804242e+01°)"
1026.19178505038,"(1.27366911284939e+02dB,9.01107478773757e+01°)"
1027.75366856151,"(1.27353701259439e+02dB,9.01105798277686e+01°)"
1029.31792928921,"(1.27340491146348e+02dB,9.01104118376535e+01°)"
1030.88457085162,"(1.27327281124875e+02dB,9.01102441573653e+01°)"
1032.45359687244,"(1.27314071029226e+02dB,9.01100767107488e+01°)"
1034.02501098086,"(1.27300860958217e+02dB,9.01099095703464e+01°)"
1035.59881681158,"(1.27287650914958e+02dB,9.01097426994264e+01°)"
1037.17501800485,"(1.27274440856399e+02dB,9.01095761884690e+01°)"
1038.75361820647,"(1.27261230780803e+02dB,9.01094096936203e+01°)"
1040.33462106777,"(1.27248020716279e+02dB,9.01092434603933e+01°)"
1041.91803024565,"(1.27234810617414e+02dB,9.01090776065056e+01°)"
1043.50384940256,"(1.27221600581358e+02dB,9.01089120437096e+01°)"
1045.09208220653,"(1.27208390521332e+02dB,9.01087466419923e+01°)"
1046.68273233119,"(1.27195180450343e+02dB,9.01085815563056e+01°)"
1048.27580345574,"(1.27181970369273e+02dB,9.01084167610580e+01°)"
1049.87129926499,"(1.27168760285780e+02dB,9.01082519910724e+01°)"
