Freq.,V(e1)/I(V1)
1000.0,"(1.27591481949934e+02dB,9.01136463608216e+01°)"
1001.52201911367,"(1.27578271904041e+02dB,9.01134737620432e+01°)"
1003.04635476951,"(1.27565061855261e+02dB,9.01133014804860e+01°)"
1004.57301049337,"(1.27551851793777e+02dB,9.01131295184351e+01°)"
1006.10198981641,"(1.27538641707986e+02dB,9.01129577157157e+01°)"
1007.63329627521,"(1.27525431632704e+02dB,9.01127858958698e+01°)"
1009.16693341171,"(1.27512221598297e+02dB,9.01126148064725e+01°)"
1010.70290477324,"(1.27499011543887e+02dB,9.01124435977212e+01°)"
1012.24121391254,"(1.27485801508716e+02dB,9.01122732475585e+01°)"
1013.78186438776,"(1.27472591423558e+02dB,9.01121026297772e+01°)"
1015.32485976244,"(1.27459381353101e+02dB,9.01119323547191e+01°)"
1016.87020360558,"(1.27446171316550e+02dB,9.01117622625584e+01°)"
1018.41789949159,"(1.27432961246785e+02dB,9.01115926020155e+01°)"
1019.96795100031,"(1.27419751202974e+02dB,9.01114233523162e+01°)"
1021.52036171706,"(1.27406541116742e+02dB,9.01112538277528e+01°)"
1023.07513523259,"(1.27393331025375e+02dB,9.01110851851605e+01°)"
1024.63227514313,"(1.27380121001622e+02dB,9.01109164193552e+01°)"
1026.19178505038,"(1.27366910935648e+02dB,9.01107480301957e+01°)"
1027.75366856151,"(1.27353700874955e+02dB,9.01105797610041e+01°)"
1029.31792928921,"(1.27340490814006e+02dB,9.01104118779099e+01°)"
1030.88457085162,"(1.27327280760593e+02dB,9.01102441821967e+01°)"
1032.45359687244,"(1.27314070685306e+02dB,9.01100766249036e+01°)"
1034.02501098086,"(1.27300860598490e+02dB,9.01099094553261e+01°)"
1035.59881681158,"(1.27287650550998e+02dB,9.01097427800250e+01°)"
1037.17501800485,"(1.27274440493974e+02dB,9.01095763151392e+01°)"
1038.75361820647,"(1.27261230427076e+02dB,9.01094094932600e+01°)"
1040.33462106777,"(1.27248020351676e+02dB,9.01092434850658e+01°)"
1041.91803024565,"(1.27234810261246e+02dB,9.01090774770119e+01°)"
1043.50384940256,"(1.27221600234962e+02dB,9.01089119631017e+01°)"
1045.09208220653,"(1.27208390140429e+02dB,9.01087464891745e+01°)"
1046.68273233119,"(1.27195180079720e+02dB,9.01085813521818e+01°)"
1048.27580345574,"(1.27181969983949e+02dB,9.01084163435820e+01°)"
1049.87129926499,"(1.27168759927234e+02dB,9.01082521011980e+01°)"
1051.46922344937,"(1.27155549886764e+02dB,9.01080874552119e+01°)"
1053.06957970489,"(1.27142339784508e+02dB,9.01079233814165e+01°)"
1054.67237173322,"(1.27129129731993e+02dB,9.01077595216613e+01°)"
1056.27760324165,"(1.27115919665195e+02dB,9.01075959496444e+01°)"
1057.88527794312,"(1.27102709602337e+02dB,9.01074326627488e+01°)"
1059.49539955622,"(1.27089499514663e+02dB,9.01072695556933e+01°)"
1061.1079718051801,"(1.27076289460560e+02dB,9.01071065476446e+01°)"
1062.72299841993,"(1.27063079344368e+02dB,9.01069439023773e+01°)"
1064.34048313606,"(1.27049869276021e+02dB,9.01067814148918e+01°)"
1065.96042969484,"(1.27036659227759e+02dB,9.01066193884094e+01°)"
1067.58284184325,"(1.27023449180158e+02dB,9.01064575847352e+01°)"
1069.20772333396,"(1.27010239108106e+02dB,9.01062958720713e+01°)"
1070.83507792535,"(1.26997028985149e+02dB,9.01061342683285e+01°)"
1072.46490938154,"(1.26983818937829e+02dB,9.01059731632635e+01°)"
1074.09722147235,"(1.26970608884249e+02dB,9.01058123595325e+01°)"
1075.73201797337,"(1.26957398775872e+02dB,9.01056516671795e+01°)"
1077.36930266591,"(1.26944188700541e+02dB,9.01054911638708e+01°)"
1079.00907933704,"(1.26930978623571e+02dB,9.01053312540384e+01°)"
1080.65135177961,"(1.26917768546602e+02dB,9.01051711656724e+01°)"
1082.29612379223,"(1.26904558474894e+02dB,9.01050114965418e+01°)"
1083.94339917929,"(1.26891348385523e+02dB,9.01048518879835e+01°)"
1085.59318175097,"(1.26878138284819e+02dB,9.01046928401864e+01°)"
1087.24547532326,"(1.26864928231260e+02dB,9.01045337688151e+01°)"
1088.90028371795,"(1.26851718182221e+02dB,9.01043750542151e+01°)"
1090.55761076265,"(1.26838508057908e+02dB,9.01042166212450e+01°)"
1092.21746029078,"(1.26825298022210e+02dB,9.01040582632163e+01°)"
1093.87983614162,"(1.26812087962075e+02dB,9.01039004434684e+01°)"
1095.54474216028,"(1.26798877854769e+02dB,9.01037426131052e+01°)"
1097.21218219773,"(1.26785667761867e+02dB,9.01035850918489e+01°)"
1098.88216011078,"(1.26772457700509e+02dB,9.01034277537726e+01°)"
1100.55467976214,"(1.26759247609378e+02dB,9.01032706528970e+01°)"
1102.22974502037,"(1.26746037531121e+02dB,9.01031141689246e+01°)"
1103.90735975994,"(1.26732827496461e+02dB,9.01029574966456e+01°)"
1105.58752786121,"(1.26719617390134e+02dB,9.01028014211713e+01°)"
1107.27025321045,"(1.26706407275837e+02dB,9.01026448037718e+01°)"
1108.95553969983,"(1.26693197200863e+02dB,9.01024889408145e+01°)"
1110.64339122746,"(1.26679987136872e+02dB,9.01023333692409e+01°)"
1112.33381169737,"(1.26666777047687e+02dB,9.01021781352738e+01°)"
1114.02680501955,"(1.26653566978230e+02dB,9.01020229577417e+01°)"
1115.72237510993,"(1.26640356863640e+02dB,9.01018678830544e+01°)"
1117.42052589039,"(1.26627146806948e+02dB,9.01017133614917e+01°)"
1119.1212612888,"(1.26613936700111e+02dB,9.01015589679225e+01°)"
1120.82458523899,"(1.26600726647887e+02dB,9.01014049268577e+01°)"
1122.53050168079,"(1.26587516538949e+02dB,9.01012507974810e+01°)"
1124.23901456002,"(1.26574306433932e+02dB,9.01010970670429e+01°)"
1125.95012782851,"(1.26561096344357e+02dB,9.01009434399332e+01°)"
1127.6638454441,"(1.26547886287220e+02dB,9.01007904568913e+01°)"
1129.38017137066,"(1.26534676180902e+02dB,9.01006373664345e+01°)"
1131.09910957808,"(1.26521466080340e+02dB,9.01004844212756e+01°)"
1132.82066404231,"(1.26508255990347e+02dB,9.01003318682914e+01°)"
1134.54483874534,"(1.26495045924625e+02dB,9.01001796934653e+01°)"
1136.27163767522,"(1.26481835838790e+02dB,9.01000275606799e+01°)"
1138.00106482607,"(1.26468625740486e+02dB,9.00998756280385e+01°)"
1139.73312419811,"(1.26455415674321e+02dB,9.00997241240640e+01°)"
1141.46781979762,"(1.26442205573113e+02dB,9.00995726892441e+01°)"
1143.20515563699,"(1.26428995480374e+02dB,9.00994214380294e+01°)"
1144.94513573471,"(1.26415785398053e+02dB,9.00992706331667e+01°)"
1146.6877641154,"(1.26402575300368e+02dB,9.00991198382275e+01°)"
1148.43304480979,"(1.26389365189454e+02dB,9.00989691890774e+01°)"
1150.18098185475,"(1.26376155111139e+02dB,9.00988191030683e+01°)"
1151.93157929331,"(1.26362945008842e+02dB,9.00986688652711e+01°)"
1153.68484117463,"(1.26349734929449e+02dB,9.00985191874786e+01°)"
1155.44077155404,"(1.26336524807680e+02dB,9.00983693793348e+01°)"
1157.19937449306,"(1.26323314707631e+02dB,9.00982202537881e+01°)"
1158.96065405936,"(1.26310104620950e+02dB,9.00980711733298e+01°)"
